office_name,category,address,general_loc,telephone_num,website
Terrill & Associates,Lawyers & Solicitor,"22- 24 Cavenagh St, Darwin, NT, 0800|432m","Darwin, NT 0800",(08) 8941 2240,0
Halfpennys Lawyers,Lawyers & Solicitor,"Level 3 69 Smith St, Darwin, NT, 0800|202m","Darwin, NT 0800",(08) 8942 8888,http://www.halfpennys.com.au
Michael Whelan & Associates,Lawyers & Solicitor,"Unit 4 O'Shea Tce Riverbank Office Village, Katherine, NT, 0850|270.48km","Katherine, NT 0850",(08) 8971 0636,0
Hubber Coonan Legal,Lawyers & Solicitor,"Level 1 15 Cavenagh St, Darwin City, NT, 0800|497m","Darwin City, NT 0800",1300 001 298,0
Piper Ellis Lawyers,Lawyers & Solicitor,"26 Harry Chan Ave, Darwin, NT, 0800|824m","Darwin, NT 0800",(08) 8981 4114,http://www.piperellislawyers.com
Merrill Legal Solutions,Lawyers & Solicitor,"1 Parsons St, Alice Springs, NT, 0870|1289.99km","Alice Springs, NT 0870",(08) 8952 5388,0
Central Australian Aboriginal Family Legal Unit,Lawyers & Solicitor,"84 Hartley St, Alice Springs, NT, 0870|1290.58km","Alice Springs, NT 0870",(08) 8953 6355,http://www.caaflu.com.au
Bennett Criminal Lawyer,Lawyers & Solicitor,"Suite 2 29 Cavenagh St, Darwin, NT, 0800|331m","Darwin, NT 0800",(08) 8981 0005,0
NT Police Association Incorporated,Lawyers & Solicitor,"5 Foelsche St, Darwin, NT, 0800|456m","Darwin, NT 0800",(08) 8981 8840,http://www.ntpa.com.au
Sparke Helmore Lawyers,Lawyers & Solicitor,"Level 16 19 Smith St, Darwin, NT, 0800","Darwin, NT 0800",(08) 8963 5684,http://www.sparke.com.au
Michaels M,Lawyers & Solicitor,"19 Lindsay St, Darwin, NT, 0800|130m","Darwin, NT 0800",(08) 8943 2555,0
Raise Finance,Lawyers & Solicitor,"5 Searcy St, Darwin, NT, 0800|141m","Darwin, NT 0800",(08) 8941 6033,0
Mary M Allan,Lawyers & Solicitor,"Ground Floor 1 Shepherd St, Darwin, NT, 0800|207m","Darwin, NT 0800",(08) 8941 6944,0
Top End Women's Legal Service,Lawyers & Solicitor,0,"Darwin, NT 0800",(08) 8982 3000,0
Marris & Co,Lawyers & Solicitor,"Suite 25/ Arafura Plaza 24 Cavenagh St, Darwin, NT, 0800|400m","Darwin, NT 0800",(08) 8981 2533,0
Complete Contract Lawyers,Lawyers & Solicitor,"Level 1 48-50 Smith St, Darwin, NT, 0800|402m","Darwin, NT 0800",(08) 9821 1822,0
Affordable Family Law,Lawyers & Solicitor,"Level 1 48-50 Smith St, Darwin, NT, 0800|402m","Darwin, NT 0800",(08) 8921 1888,0
Corporate & Commercial Lawyers,Lawyers & Solicitor,"Level 1 48-50 Smith St, Darwin, NT, 0800|402m","Darwin, NT 0800",(08) 8921 1800,0
Ken Parish Barrister & Solicitor,Lawyers & Solicitor,"Level 1 48-50 Smith St, Darwin, NT, 0800|402m","Darwin, NT 0800",(08) 8921 1899,0
Bradley Solicitors,Lawyers & Solicitor,"Suite 21 The Metro 21 Cavenagh St, Darwin, NT, 0800|443m","Darwin, NT 0800",(08) 8941 1677,0
"Gooden, Zara",Lawyers & Solicitor,"38 Mitchell St, Darwin, NT, 0800|456m","Darwin, NT 0800",(08) 8942 8888,0
Close Vincent,Lawyers & Solicitor,"Northgate Plaza Suite 4/ Level 1 101 Mitchell St, Darwin, NT, 0800|526m","Darwin, NT 0800",(08) 8941 7055,0
Tsoukalis Lawyers,Lawyers & Solicitor,"Unit 53/ 108 Mitchell St, Darwin, NT, 0800|617m","Darwin, NT 0800",(08) 8942 2611,0
Withnalls,Lawyers & Solicitor,0,"Darwin, NT 0800",(08) 8941 1896,0
Darwin Criminal Lawyers,Lawyers & Solicitor,0,"Parap, NT 0820",(08) 7978 4833,0
Ron Hope,Lawyers & Solicitor,"5 Thompson Cres, Moil, NT, 0810|8.48km","Moil, NT 0810",(08) 8945 5557,0
Story David C Solicitor,Lawyers & Solicitor,"42 Vanderlin Dr, Wagaman, NT, 0810|10.51km","Wagaman, NT 0810",(08) 8945 0463,0
David C. Story,Lawyers & Solicitor,"42 Vanderlin Dr, Casuarina, NT, 0810|10.52km","Wagaman, NT 0810",(08) 8927 7720,0
Kiem M & Harry D,Lawyers & Solicitor,"37 Brisbane St, Wagait Beach, NT, 0822|10.53km","Wagait Beach, NT 0822",(08) 8978 5034,0
BJT Services,Lawyers & Solicitor,"8 George Cres, Ciccone, NT, 0870|1290.18km","Ciccone, NT 0870",0427 535 187,0
Domestic Violence Legal Service,Lawyers & Solicitor,"2 Gregory Tce, Alice Springs, NT, 0870|1290.23km","Alice Springs, NT 0870",(08) 8952 1391,0
Gardiner & Associates,Lawyers & Solicitor,0,"Alice Springs, NT 0870",(08) 8990 0500,0
Angela Copland Conveyancing,Lawyers & Solicitor,"2/ 78 Hartley St, Alice Springs, NT, 0870|1290.51km","Alice Springs, NT 0870",(08) 8952 9996,0
Denise Hilder,Lawyers & Solicitor,0,"Darwin, NT 0800",(08) 8941 1896,0
Australian Executor Trustees,Lawyers & Solicitor,0,"Darwin, NT 0800",1800 882 218,0
Margaret Orwin Barrister And Solicitor,Lawyers & Solicitor,"Shp 8 Winnellie Shopping Cntr 347 Stuart Hwy, The Narrows, NT, 0820|4.52km","The Narrows, NT 0820",(08) 8941 9882,0
Gerard Malouf & Partners,Lawyers & Solicitor,0,"Armstrong Creek, QLD 4520",1300 173 316,https://www.gerardmaloufpartners.com.au
Maurice Blackburn Lawyers,Lawyers & Solicitor,0,"City East, QLD 4002",1800 519 737,https://www.mauriceblackburn.com.au
Gerard Malouf & Partners,Lawyers & Solicitor,0,"Mungindi, QLD 2406",1300 173 316,https://www.gerardmaloufpartners.com.au
Wallace & Wallace Lawyers,Lawyers & Solicitor,"60 Sydney St, Mackay, QLD, 4740|803.53km","Mackay, QLD 4740",(07) 4963 2000,https://wallace-lawyers.com.au
